date,diff_km
2378-01-01,-23745.0
2379-01-01,-23374.0
2380-01-01,6282.0
2381-01-01,10306.0
2382-01-01,-27790.0
2383-01-01,-18879.0
2384-01-01,6974.0
2385-01-01,8358.0
2386-01-01,-30577.0
2387-01-01,-14750.0
2388-01-01,7553.0
2389-01-01,5698.0
2390-01-01,-32073.0
2391-01-01,-11273.0
2392-01-01,8944.0
2393-01-01,1609.0
2394-01-01,-31850.0
2395-01-01,-8593.0
2396-01-01,10102.0
2397-01-01,-2548.0
2398-01-01,-30887.0
2399-01-01,-6570.0
2400-01-01,11804.0
2401-01-01,-7597.0
2402-01-01,-28554.0
2403-01-01,-5406.0
2404-01-01,13198.0
2405-01-01,-12207.0
2406-01-01,-26091.0
2407-01-01,-4528.0
2408-01-01,14256.0
2409-01-01,-16366.0
2410-01-01,-23484.0
2411-01-01,-3491.0
2412-01-01,14321.0
2413-01-01,-19530.0
2414-01-01,-21053.0
2415-01-01,-2629.0
2416-01-01,13970.0
2417-01-01,-21768.0
2418-01-01,-19255.0
2419-01-01,-626.0
2420-01-01,12053.0
2421-01-01,-22516.0
2422-01-01,-18044.0
2423-01-01,1475.0
2424-01-01,9942.0
2425-01-01,-22837.0
2426-01-01,-17338.0
2427-01-01,4346.0
2428-01-01,7009.0
2429-01-01,-22266.0
2430-01-01,-17077.0
2431-01-01,7271.0
2432-01-01,4037.0
2433-01-01,-21592.0
2434-01-01,-17109.0
2435-01-01,10216.0
2436-01-01,1341.0
2437-01-01,-21278.0
2438-01-01,-16446.0
2439-01-01,12247.0
2440-01-01,-793.0
2441-01-01,-21098.0
2442-01-01,-15799.0
2443-01-01,14065.0
2444-01-01,-2570.0
2445-01-01,-21686.0
2446-01-01,-13687.0
2447-01-01,14333.0
2448-01-01,-3506.0
2449-01-01,-22703.0
2450-01-01,-11020.0
2451-01-01,14134.0
2452-01-01,-4383.0
2453-01-01,-24196.0
2454-01-01,-7317.0
2455-01-01,13095.0
2456-01-01,-5427.0
2457-01-01,-25651.0
2458-01-01,-3206.0
2459-01-01,11583.0
2460-01-01,-6531.0
2461-01-01,-27327.0
2462-01-01,1317.0
2463-01-01,10039.0
2464-01-01,-8815.0
2465-01-01,-27802.0
2466-01-01,5056.0
2467-01-01,8790.0
2468-01-01,-11479.0
2469-01-01,-27961.0
2470-01-01,8718.0
2471-01-01,7613.0
2472-01-01,-15194.0
2473-01-01,-26417.0
2474-01-01,11003.0
2475-01-01,6942.0
2476-01-01,-19300.0
2477-01-01,-23816.0
2478-01-01,12534.0
2479-01-01,6401.0
2480-01-01,-23916.0
2481-01-01,-19934.0
2482-01-01,13231.0
2483-01-01,5315.0
2484-01-01,-27893.0
2485-01-01,-15371.0
2486-01-01,13172.0
2487-01-01,4256.0
2488-01-01,-31857.0
2489-01-01,-10062.0
2490-01-01,12792.0
2491-01-01,1864.0
2492-01-01,-34097.0
2493-01-01,-5330.0
2494-01-01,12527.0
2495-01-01,-1099.0
2496-01-01,-35399.0
2497-01-01,-622.0
2498-01-01,12206.0
2499-01-01,-5191.0
2500-01-01,-34951.0
2501-01-01,-661.0
2502-01-01,12552.0
2503-01-01,-6521.0
2504-01-01,-31824.0
2505-01-01,1769.0
2506-01-01,13391.0
2507-01-01,-11820.0
2508-01-01,-29084.0
2509-01-01,3529.0
2510-01-01,13421.0
2511-01-01,-16350.0
2512-01-01,-25987.0
2513-01-01,4567.0
2514-01-01,13538.0
2515-01-01,-20810.0
2516-01-01,-22509.0
2517-01-01,5244.0
2518-01-01,12472.0
2519-01-01,-23814.0
2520-01-01,-19551.0
2521-01-01,6074.0
2522-01-01,10653.0
2523-01-01,-25728.0
2524-01-01,-17055.0
2525-01-01,7168.0
2526-01-01,7764.0
2527-01-01,-26484.0
2528-01-01,-15088.0
2529-01-01,8343.0
2530-01-01,4347.0
2531-01-01,-26145.0
2532-01-01,-14013.0
2533-01-01,10359.0
2534-01-01,0.0
2535-01-01,-25089.0
2536-01-01,-13260.0
2537-01-01,11803.0
2538-01-01,-3822.0
2539-01-01,-23960.0
2540-01-01,-12750.0
2541-01-01,13486.0
2542-01-01,-7765.0
2543-01-01,-22690.0
2544-01-01,-12148.0
2545-01-01,14340.0
2546-01-01,-10781.0
2547-01-01,-21863.0
2548-01-01,-11095.0
2549-01-01,14471.0
2550-01-01,-12878.0
2551-01-01,-21671.0
2552-01-01,-8996.0
2553-01-01,13509.0
2554-01-01,-14244.0
2555-01-01,-21754.0
2556-01-01,-6626.0
2557-01-01,12040.0
2558-01-01,-14919.0
2559-01-01,-22552.0
2560-01-01,-2873.0
2561-01-01,9358.0
2562-01-01,-15145.0
2563-01-01,-23434.0
2564-01-01,755.0
2565-01-01,6884.0
2566-01-01,-15624.0
2567-01-01,-24240.0
2568-01-01,4716.0
2569-01-01,4109.0
2570-01-01,-16369.0
2571-01-01,-24524.0
2572-01-01,8169.0
2573-01-01,1718.0
2574-01-01,-17572.0
2575-01-01,-24205.0
2576-01-01,11047.0
2577-01-01,-1.0
2578-01-01,-19752.0
2579-01-01,-22259.0
2580-01-01,12692.0
2581-01-01,-1311.0
2582-01-01,-22108.0
2583-01-01,-19810.0
2584-01-01,13881.0
2585-01-01,-2295.0
2586-01-01,-25133.0
2587-01-01,-15648.0
2588-01-01,13739.0
2589-01-01,-3061.0
2590-01-01,-28041.0
2591-01-01,-11169.0
2592-01-01,13342.0
2593-01-01,-4236.0
2594-01-01,-30709.0
2595-01-01,-6177.0
2596-01-01,12692.0
2597-01-01,-6124.0
2598-01-01,-32371.0
2599-01-01,-1452.0
2600-01-01,11833.0
2601-01-01,-4625.0
2602-01-01,-35346.0
2603-01-01,-409.0
2604-01-01,12408.0
2605-01-01,-8950.0
2606-01-01,-34121.0
2607-01-01,2690.0
2608-01-01,12596.0
2609-01-01,-13469.0
2610-01-01,-32079.0
2611-01-01,5231.0
2612-01-01,12795.0
2613-01-01,-18607.0
2614-01-01,-28409.0
2615-01-01,6693.0
2616-01-01,12656.0
2617-01-01,-23436.0
2618-01-01,-24109.0
2619-01-01,7456.0
2620-01-01,12244.0
2621-01-01,-27889.0
2622-01-01,-19457.0
2623-01-01,8239.0
2624-01-01,10434.0
2625-01-01,-30849.0
2626-01-01,-15013.0
2627-01-01,8652.0
2628-01-01,8331.0
2629-01-01,-33075.0
2630-01-01,-10861.0
2631-01-01,9540.0
2632-01-01,4726.0
2633-01-01,-33183.0
2634-01-01,-7757.0
2635-01-01,10646.0
2636-01-01,711.0
2637-01-01,-32365.0
2638-01-01,-5296.0
2639-01-01,11992.0
2640-01-01,-3835.0
2641-01-01,-30287.0
2642-01-01,-3574.0
2643-01-01,13080.0
2644-01-01,-8188.0
2645-01-01,-27468.0
2646-01-01,-2693.0
2647-01-01,14301.0
2648-01-01,-12385.0
2649-01-01,-24457.0
2650-01-01,-1619.0
2651-01-01,14191.0
2652-01-01,-15250.0
2653-01-01,-21585.0
2654-01-01,-771.0
2655-01-01,13839.0
2656-01-01,-17631.0
2657-01-01,-18988.0
2658-01-01,636.0
2659-01-01,12136.0
2660-01-01,-18688.0
2661-01-01,-17128.0
2662-01-01,2527.0
2663-01-01,9754.0
2664-01-01,-19014.0
2665-01-01,-15946.0
2666-01-01,5049.0
2667-01-01,6708.0
2668-01-01,-19123.0
2669-01-01,-15053.0
2670-01-01,7467.0
2671-01-01,3603.0
2672-01-01,-18900.0
2673-01-01,-14895.0
2674-01-01,10434.0
2675-01-01,272.0
2676-01-01,-19133.0
2677-01-01,-14330.0
2678-01-01,12321.0
2679-01-01,-2107.0
2680-01-01,-19810.0
2681-01-01,-13619.0
2682-01-01,13982.0
2683-01-01,-4210.0
2684-01-01,-21108.0
2685-01-01,-12123.0
2686-01-01,14510.0
2687-01-01,-5604.0
2688-01-01,-22786.0
2689-01-01,-9839.0
2690-01-01,14163.0
2691-01-01,-6335.0
2692-01-01,-25194.0
2693-01-01,-6447.0
2694-01-01,12969.0
2695-01-01,-7293.0
2696-01-01,-27191.0
2697-01-01,-2935.0
2698-01-01,11526.0
2699-01-01,-8194.0
2700-01-01,-29366.0
2701-01-01,-2077.0
2702-01-01,11532.0
2703-01-01,-5346.0
2704-01-01,-33733.0
2705-01-01,2174.0
2706-01-01,10594.0
2707-01-01,-8380.0
2708-01-01,-33955.0
2709-01-01,6031.0
2710-01-01,9889.0
2711-01-01,-12442.0
2712-01-01,-32598.0
2713-01-01,8968.0
2714-01-01,9148.0
2715-01-01,-16710.0
2716-01-01,-30063.0
2717-01-01,10954.0
2718-01-01,8929.0
2719-01-01,-21809.0
2720-01-01,-25882.0
2721-01-01,11869.0
2722-01-01,8110.0
2723-01-01,-26198.0
2724-01-01,-21494.0
2725-01-01,12440.0
2726-01-01,6970.0
2727-01-01,-30286.0
2728-01-01,-16358.0
2729-01-01,12290.0
2730-01-01,4951.0
2731-01-01,-33142.0
2732-01-01,-11634.0
2733-01-01,12187.0
2734-01-01,2112.0
2735-01-01,-34665.0
2736-01-01,-7435.0
2737-01-01,12413.0
2738-01-01,-2013.0
2739-01-01,-34487.0
2740-01-01,-4032.0
2741-01-01,12411.0
2742-01-01,-6353.0
2743-01-01,-33263.0
2744-01-01,-1433.0
2745-01-01,12988.0
2746-01-01,-11717.0
2747-01-01,-30355.0
2748-01-01,112.0
2749-01-01,13163.0
2750-01-01,-16588.0
2751-01-01,-27197.0
2752-01-01,1319.0
2753-01-01,13051.0
2754-01-01,-21198.0
2755-01-01,-23430.0
2756-01-01,2198.0
2757-01-01,12141.0
2758-01-01,-24787.0
2759-01-01,-19835.0
2760-01-01,2894.0
2761-01-01,10583.0
2762-01-01,-27270.0
2763-01-01,-16739.0
2764-01-01,4422.0
2765-01-01,7551.0
2766-01-01,-28140.0
2767-01-01,-14269.0
2768-01-01,5836.0
2769-01-01,4304.0
2770-01-01,-28297.0
2771-01-01,-12419.0
2772-01-01,8036.0
2773-01-01,-119.0
2774-01-01,-27054.0
2775-01-01,-11364.0
2776-01-01,10187.0
2777-01-01,-4393.0
2778-01-01,-25616.0
2779-01-01,-10663.0
2780-01-01,12292.0
2781-01-01,-8555.0
2782-01-01,-24001.0
2783-01-01,-9831.0
2784-01-01,13638.0
2785-01-01,-12026.0
2786-01-01,-22443.0
2787-01-01,-9203.0
2788-01-01,14687.0
2789-01-01,-14785.0
2790-01-01,-21507.0
2791-01-01,-7370.0
2792-01-01,14165.0
2793-01-01,-16203.0
2794-01-01,-21026.0
2795-01-01,-5315.0
2796-01-01,13340.0
2797-01-01,-17230.0
2798-01-01,-21072.0
2799-01-01,-2227.0
2800-01-01,11451.0
2801-01-01,-17393.0
2802-01-01,-21480.0
2803-01-01,1212.0
2804-01-01,9231.0
2805-01-01,-17415.0
2806-01-01,-22214.0
2807-01-01,4985.0
2808-01-01,6992.0
2809-01-01,-17842.0
2810-01-01,-22247.0
2811-01-01,8132.0
2812-01-01,5033.0
2813-01-01,-18366.0
2814-01-01,-22294.0
2815-01-01,11236.0
2816-01-01,3289.0
2817-01-01,-19777.0
2818-01-01,-20801.0
2819-01-01,12876.0
2820-01-01,2299.0
2821-01-01,-21620.0
2822-01-01,-18602.0
2823-01-01,13990.0
2824-01-01,1402.0
2825-01-01,-24043.0
2826-01-01,-15127.0
2827-01-01,14089.0
2828-01-01,399.0
2829-01-01,-26462.0
2830-01-01,-10927.0
2831-01-01,13469.0
2832-01-01,-562.0
2833-01-01,-29177.0
2834-01-01,-6015.0
2835-01-01,12571.0
2836-01-01,-2703.0
2837-01-01,-30743.0
2838-01-01,-1544.0
2839-01-01,11711.0
2840-01-01,-5237.0
2841-01-01,-31991.0
2842-01-01,3060.0
2843-01-01,10787.0
2844-01-01,-8948.0
2845-01-01,-31510.0
2846-01-01,6428.0
2847-01-01,10329.0
2848-01-01,-13229.0
2849-01-01,-29838.0
2850-01-01,9067.0
2851-01-01,10063.0
2852-01-01,-18221.0
2853-01-01,-26712.0
2854-01-01,10774.0
2855-01-01,9391.0
2856-01-01,-22846.0
2857-01-01,-22607.0
2858-01-01,11555.0
2859-01-01,8900.0
2860-01-01,-27660.0
2861-01-01,-17490.0
2862-01-01,11801.0
2863-01-01,7188.0
2864-01-01,-30963.0
2865-01-01,-12628.0
2866-01-01,11966.0
2867-01-01,4947.0
2868-01-01,-33453.0
2869-01-01,-7548.0
2870-01-01,11955.0
2871-01-01,1538.0
2872-01-01,-34278.0
2873-01-01,-3381.0
2874-01-01,12196.0
2875-01-01,-2590.0
2876-01-01,-33635.0
2877-01-01,-39.0
2878-01-01,12877.0
2879-01-01,-7654.0
2880-01-01,-31690.0
2881-01-01,2469.0
2882-01-01,13074.0
2883-01-01,-12417.0
2884-01-01,-28992.0
2885-01-01,4062.0
2886-01-01,13632.0
2887-01-01,-17546.0
2888-01-01,-25475.0
2889-01-01,4982.0
2890-01-01,13200.0
2891-01-01,-21466.0
2892-01-01,-22231.0
2893-01-01,5811.0
2894-01-01,12191.0
2895-01-01,-24570.0
2896-01-01,-19074.0
2897-01-01,6561.0
2898-01-01,10110.0
2899-01-01,-26396.0
2900-01-01,-16452.0
2901-01-01,3525.0
2902-01-01,9771.0
2903-01-01,-21346.0
2904-01-01,-18700.0
2905-01-01,5878.0
2906-01-01,6357.0
2907-01-01,-21164.0
2908-01-01,-18458.0
2909-01-01,7922.0
2910-01-01,3165.0
2911-01-01,-20898.0
2912-01-01,-18471.0
2913-01-01,10507.0
2914-01-01,-489.0
2915-01-01,-20477.0
2916-01-01,-18393.0
2917-01-01,12510.0
2918-01-01,-3493.0
2919-01-01,-20496.0
2920-01-01,-17870.0
2921-01-01,13987.0
2922-01-01,-5816.0
2923-01-01,-21186.0
2924-01-01,-16225.0
2925-01-01,14446.0
2926-01-01,-7539.0
2927-01-01,-22136.0
2928-01-01,-14158.0
2929-01-01,14335.0
2930-01-01,-8616.0
2931-01-01,-23859.0
2932-01-01,-10451.0
2933-01-01,12833.0
2934-01-01,-9229.0
2935-01-01,-25643.0
2936-01-01,-6586.0
2937-01-01,11293.0
2938-01-01,-10071.0
2939-01-01,-27427.0
2940-01-01,-2036.0
2941-01-01,9136.0
2942-01-01,-11180.0
2943-01-01,-28676.0
2944-01-01,2289.0
2945-01-01,7091.0
2946-01-01,-12771.0
2947-01-01,-29334.0
2948-01-01,6256.0
2949-01-01,5504.0
2950-01-01,-15467.0
2951-01-01,-28297.0
2952-01-01,9110.0
2953-01-01,4209.0
2954-01-01,-18403.0
2955-01-01,-26630.0
2956-01-01,11488.0
2957-01-01,3238.0
2958-01-01,-22212.0
2959-01-01,-23019.0
2960-01-01,12424.0
2961-01-01,2541.0
2962-01-01,-25998.0
2963-01-01,-18820.0
2964-01-01,12905.0
2965-01-01,1528.0
2966-01-01,-29716.0
2967-01-01,-13786.0
2968-01-01,12894.0
2969-01-01,-138.0
2970-01-01,-32512.0
2971-01-01,-8717.0
2972-01-01,12469.0
2973-01-01,-2191.0
2974-01-01,-34708.0
2975-01-01,-3772.0
2976-01-01,12384.0
2977-01-01,-5717.0
2978-01-01,-34832.0
2979-01-01,133.0
2980-01-01,12374.0
2981-01-01,-9578.0
2982-01-01,-34121.0
2983-01-01,3573.0
2984-01-01,12501.0
2985-01-01,-14442.0
2986-01-01,-31442.0
2987-01-01,5719.0
2988-01-01,12630.0
2989-01-01,-19374.0
2990-01-01,-27840.0
2991-01-01,7086.0
2992-01-01,12649.0
2993-01-01,-24356.0
2994-01-01,-23421.0
2995-01-01,8070.0
2996-01-01,11582.0
2997-01-01,-28294.0
2998-01-01,-18772.0
2999-01-01,8452.0
3000-01-01,10315.0
3001-01-01,-28487.0
3002-01-01,-16589.0
3003-01-01,5538.0
3004-01-01,9919.0
3005-01-01,-29714.0
3006-01-01,-13623.0
3007-01-01,6873.0
3008-01-01,6930.0
3009-01-01,-30034.0
3010-01-01,-11232.0
3011-01-01,8626.0
3012-01-01,3175.0
3013-01-01,-29115.0
3014-01-01,-9524.0
3015-01-01,10385.0
3016-01-01,-725.0
3017-01-01,-27348.0
3018-01-01,-8673.0
3019-01-01,12533.0
3020-01-01,-4759.0
3021-01-01,-25363.0
3022-01-01,-7702.0
3023-01-01,13605.0
3024-01-01,-7786.0
3025-01-01,-23372.0
3026-01-01,-6993.0
3027-01-01,14599.0
3028-01-01,-10532.0
3029-01-01,-21615.0
3030-01-01,-5720.0
3031-01-01,14286.0
3032-01-01,-12109.0
3033-01-01,-20466.0
3034-01-01,-3858.0
3035-01-01,13205.0
3036-01-01,-12981.0
3037-01-01,-19939.0
3038-01-01,-1189.0
3039-01-01,11284.0
3040-01-01,-13662.0
3041-01-01,-19652.0
3042-01-01,1676.0
3043-01-01,9006.0
3044-01-01,-13974.0
3045-01-01,-20078.0
3046-01-01,5381.0
3047-01-01,6214.0
3048-01-01,-14769.0
3049-01-01,-20116.0
3050-01-01,8306.0
3051-01-01,4072.0
3052-01-01,-16036.0
3053-01-01,-19995.0
3054-01-01,11226.0
3055-01-01,1989.0
3056-01-01,-18001.0
3057-01-01,-19067.0
3058-01-01,13115.0
3059-01-01,507.0
3060-01-01,-20441.0
3061-01-01,-17225.0
3062-01-01,14128.0
3063-01-01,-337.0
3064-01-01,-23713.0
3065-01-01,-14086.0
3066-01-01,14161.0
3067-01-01,-1371.0
3068-01-01,-26674.0
3069-01-01,-10532.0
3070-01-01,13711.0
3071-01-01,-2278.0
3072-01-01,-29905.0
3073-01-01,-5745.0
3074-01-01,12399.0
3075-01-01,-3819.0
3076-01-01,-32211.0
3077-01-01,-1372.0
3078-01-01,11367.0
3079-01-01,-6073.0
3080-01-01,-33607.0
3081-01-01,3065.0
